movie_title,release_date,genre
The General,18-Dec-98,"Biography,Drama,Thriller,Crime"
The Hill,3-Oct-65,"Drama,War"
The Freshman,20-Jul-90,"Comedy,Crime"
The Iron Ministry,21-Aug-15,Documentary
Guerrilla: The Taking of Patty Hearst,26-Nov-04,"Biography,History,Crime,War,Documentary"
Donbass,11-Jan-19,Drama
Gun Crazy,20-Jan-50,"Drama,Thriller,Romance,Crime,Film-Noir"
The Watermelon Woman,5-Mar-97,Drama
Kiki,24-Feb-17,Documentary
After the Life,13-Feb-04,"Drama,Crime"
Mike Wallace Is Here,26-Jul-19,"Biography,Documentary"
Little Feet,12-Dec-14,Drama
Breaker Morant,15-Oct-80,"Drama,History,War"
Plagues and Pleasures on the Salton Sea,20-Apr-07,Documentary
Battle for Brooklyn,17-Jun-11,"Drama,Documentary"
Koch,1-Feb-13,"Biography,History,Documentary"
Bugsy Malone,15-Sep-76,"Comedy,Crime,Family,Musical"
Letters from Baghdad,2-Jun-17,Documentary
Paint It Black,19-May-17,Drama
Tel Aviv on Fire,2-Aug-19,"Drama,Comedy,Romance"
Better Living Through Circuitry,26-May-00,"Drama,Music,Documentary"
Jason Becker: Not Dead Yet,14-Dec-12,"Biography,Music,Documentary"
Beautiful Darling,22-Apr-11,Documentary
Rosenwald,14-Aug-15,"Biography,Documentary"
It Came from Kuchar,9-Apr-10,"Comedy,Documentary"
Guidance,21-Aug-15,Comedy
Littlerock,12-Aug-11,Drama
Harvest of Empire,28-Sep-12,"History,Documentary,News"
The Swell Season,22-Apr-11,"Romance,Music,Documentary"
"Faster, Pussycat! Kill! Kill!",6-Aug-65,"Action,Comedy"
Fishing Without Nets,26-Sep-14,Thriller
Naz & Maalik,22-Jan-16,"Adventure,Drama,Comedy"
Monsieur N.,21-Jan-05,"Biography,Drama,Mystery"
Red Flag,22-Feb-13,"Comedy,Romance"
Wolke Neun,28-Aug-09,"Drama,Romance"
Sample This,13-Sep-13,Documentary
Wrestling with Angels: Playwright Tony Kushner,4-Oct-06,Documentary
The Almost Man,1-Aug-14,"Drama,Comedy"
Coming Through The Rye,14-Oct-16,Drama
Enzo Avitabile Music Life,18-Oct-13,Documentary
We Are X,21-Oct-16,"Music,Documentary"
Woman Is the Future of Man,3-Mar-06,Drama
The Caine Mutiny,24-Jun-54,"Drama,War"
Rubble Kings,19-Jun-15,Documentary
Punching the Clown,22-Oct-10,Comedy
Stolen Childhoods,20-May-05,Documentary
Nearing Grace,13-Oct-06,Drama
Dreams Rewired,16-Dec-15,"History,Documentary,News"
The Invisibles,25-Jan-19,"Biography,Drama,History,War"
Len and Company,10-Jun-16,"Drama,Comedy"
Go for Sisters,8-Nov-13,"Drama,Thriller,Crime"
Follow Me: The Yoni Netanyahu Story,18-May-12,Documentary
Blossoms of Fire,20-Jan-06,Documentary
Defamation,20-Nov-09,Documentary
Pulling Strings,4-Oct-13,"Comedy,Romance"
Rubberneck,22-Feb-13,"Drama,Thriller"
Confetti,15-Sep-06,"Comedy,Romance"
Shake Hands with the Devil,29-Oct-10,"Drama,History,War"
Limelight,23-Sep-11,Documentary
